tcp,cbr rate,t1_throughput,t1_drop_rate,t1_latency,t2_throughput,t2_drop_rate,t2_latency
Newreno Reno,4mb,3.5139552,0.000922531046718,0.0860926428402,2.5151392,0.00125540982523,0.0878083425953
Newreno Reno,4mb,3.4899104,0.00100026197337,0.0846157637018,2.4604768,0.0014518688591,0.0874127035572
Newreno Reno,4mb,3.5042208,0.000996181304998,0.0817504776704,2.601584,0.00114993930876,0.0847823261273
Newreno Reno,4mb,3.330832,0.00119751515605,0.0805142466592,2.725552,0.00112815196512,0.0866740575092
Newreno Reno,4mb,3.2766688,0.00116662439767,0.0827913864514,2.6771296,0.0013655266588,0.0859741086767
Newreno Reno,4mb,3.2473824,0.00135601893309,0.0864301445481,2.6965152,0.00129417927464,0.087512112431
Newreno Reno,4mb,3.1175904,0.00122607814916,0.0840754345378,2.8934496,0.00103406675475,0.0881646590086
Newreno Reno,4mb,3.2408928,0.00135873048427,0.0822982134056,2.7391136,0.00118318063224,0.0839463876925
Newreno Reno,4mb,3.2799136,0.00111485544886,0.0837892810796,2.7229728,0.00122066587323,0.088981615387
Newreno Reno,5mb,3.1603552,0.00199674215753,0.0781867553046,1.7389664,0.00314765356734,0.0818294289542
Newreno Reno,5mb,3.0021088,0.00207417240521,0.076405588876,2.105296,0.00279791929382,0.0791774424027
Newreno Reno,5mb,3.0552736,0.00173974501862,0.0793648037197,1.8880608,0.00329395230357,0.0842286265973
Newreno Reno,5mb,2.981808,0.00186593143398,0.0763332121094,1.9279136,0.00335469442175,0.0816972126613
Newreno Reno,5mb,3.1814048,0.00161875669043,0.0795162000575,1.8822368,0.00317236517448,0.0783926051538
Newreno Reno,5mb,2.9595936,0.00224385044737,0.0773032693897,1.9816608,0.00334742039416,0.0801765781519
Newreno Reno,5mb,2.8451104,0.00186801319284,0.0780389724537,2.17976,0.00243679561377,0.0819682588931
Newreno Reno,5mb,2.7564192,0.00237880156579,0.0767807897739,2.1666144,0.00260436614324,0.0828248699025
Newreno Reno,5mb,2.8043424,0.00219058050383,0.0792881766992,2.1303392,0.00299809212319,0.0831640092556
Newreno Reno,5mb,2.5084,0.00297619047619,0.0767406285572,2.3940832,0.00246126113634,0.0805779642063
Newreno Reno,6mb,2.42728,0.00440212940213,0.0773870912768,1.5800544,0.00555031940517,0.0811458842144
Newreno Reno,6mb,2.3439968,0.00346632710809,0.0793391183361,1.6216544,0.0046977124183,0.0837296291299
Newreno Reno,6mb,2.4454176,0.00389724820388,0.0769899877522,1.4898656,0.00549786194258,0.0793728032164
Newreno Reno,6mb,2.3955808,0.00356438384607,0.0767816103008,1.5768096,0.00582249265632,0.080398909513
Newreno Reno,6mb,2.2112096,0.00408438565594,0.0791348089397,1.76584,0.00408220720721,0.0831361927915
Newreno Reno,6mb,2.2466528,0.00405694475179,0.0778594984076,1.7516128,0.00496242733589,0.0811104261898
Newreno Reno,6mb,2.2493152,0.0048220267236,0.0776065931721,1.6769824,0.00537846639692,0.0819950307585
Newreno Reno,6mb,2.3152096,0.0041155208818,0.0760327630085,1.6505248,0.00566359262229,0.079091564343
Newreno Reno,6mb,2.3054752,0.00316558149574,0.078956010826,1.6226528,0.00433916994231,0.0821770980312
Newreno Reno,6mb,2.2734432,0.00440849637483,0.0767370377662,1.7286496,0.00426510758614,0.0811725092887
Newreno Reno,7mb,1.7335584,0.00444338270425,0.0876109996641,1.317392,0.00402541040317,0.091747724408
Newreno Reno,7mb,1.7676704,0.00389123300516,0.0899187776157,1.2960928,0.00574382538771,0.0938696345722
Newreno Reno,7mb,1.7753248,0.00406048725847,0.0913173437368,1.3221344,0.00600450337753,0.0933810816763
Newreno Reno,7mb,1.575312,0.00473061760841,0.0896196151571,1.5867936,0.00261465251268,0.0939150641221
Newreno Reno,7mb,1.885232,0.00504939626784,0.0891574981906,1.1748704,0.00724077328647,0.0931989005098
Newreno Reno,7mb,1.5700704,0.00495623747759,0.0912415882259,1.5438624,0.00413223140496,0.0935969478364
Newreno Reno,7mb,1.8304864,0.00353260869565,0.0898200520862,1.269136,0.0058651026393,0.0918817434284
Newreno Reno,7mb,1.5679904,0.00569770509101,0.0912926451425,1.5136608,0.00426882661996,0.0927494713642
Newreno Reno,7mb,1.7011104,0.0045762134268,0.0892261373796,1.3638176,0.00491683865485,0.0919627909474
Newreno Reno,7mb,1.5269728,0.00574214517876,0.092885701264,1.5364576,0.00393722021466,0.0960631717024
Newreno Reno,8mb,1.2709664,0.00792259237613,0.0842767026249,0.853968,0.0136446622466,0.0866576397467
Newreno Reno,8mb,1.2158048,0.0110306557488,0.0835800134118,0.8419872,0.0141242937853,0.0864983919573
Newreno Reno,8mb,1.250832,0.00916040595756,0.0844436713668,0.8580448,0.0132032146958,0.0854448468102
Newreno Reno,8mb,1.2253728,0.00734600350452,0.0850023356643,0.8293408,0.0155046415169,0.0868678544488
Newreno Reno,8mb,1.134768,0.0132388048904,0.0842444499267,0.9231072,0.0122841374399,0.0851369109589
Newreno Reno,8mb,1.2152224,0.00962777137433,0.0828934888752,0.8424032,0.0140214216164,0.0851921495161
Newreno Reno,8mb,1.2693856,0.00877022022997,0.0859743737711,0.8271776,0.0103513486613,0.0874887274464
Newreno Reno,8mb,1.2432608,0.00928135773005,0.0847982967077,0.8228512,0.012874251497,0.0867368684663
Newreno Reno,8mb,1.3164768,0.00796188326751,0.0847771732179,0.7478048,0.0161978767648,0.0862405392146
Newreno Reno,8mb,1.2652256,0.00892798957315,0.0836282957654,0.8109536,0.0134601760955,0.0865001750103
Newreno Reno,9mb,0.6125216,0.0252846174212,0.0930658535923,0.4279008,0.0470544646165,0.0928068901633
Newreno Reno,9mb,0.5996256,0.033909663584,0.0907790409267,0.455024,0.0364629205566,0.0907866482633
Newreno Reno,9mb,0.6120224,0.0290352382209,0.0910045727878,0.4848928,0.0371655104063,0.0915332587065
Newreno Reno,9mb,0.5829856,0.0265314627032,0.0924845840468,0.4797344,0.0381921280854,0.0915125299116
Newreno Reno,9mb,0.6012064,0.0314928973466,0.0925863084267,0.4522784,0.0385499557913,0.092395595549
Newreno Reno,9mb,0.598544,0.027571293418,0.0925225346769,0.4509472,0.0408704883227,0.0920346871426
Newreno Reno,9mb,0.6082784,0.0249366582211,0.0937661125547,0.4516128,0.0392850822863,0.0936744212562
Newreno Reno,9mb,0.603952,0.0298008819992,0.0933045114325,0.4356384,0.0376699742742,0.0930699301127
Newreno Reno,9mb,0.6166816,0.0309803921569,0.0926246658573,0.4615968,0.0407951598963,0.0921947422959
Newreno Reno,9mb,0.6024544,0.0264820540395,0.0931087101629,0.4685024,0.0397271952259,0.0925304831321
Newreno Reno,10mb,0.227888,0.0829986613119,0.109977438686,0.180048,0.0795068027211,0.110898562125
Newreno Reno,10mb,0.1649056,0.094106898127,0.109120716591,0.192112,0.0632603406326,0.110849201299
Newreno Reno,10mb,0.20168,0.0954867586721,0.10950346268,0.1797152,0.0780716723549,0.110937524294
Newreno Reno,10mb,0.2127456,0.0778658976208,0.110000360047,0.1819616,0.0767932489451,0.110729986746
